geocode_district,district_name,AMP_ID
1050,BangBon,0201
1006,BangKapi,0202
1040,BangKhae,0203
1005,BangKhen,0204
1031,BangKhoLaem,0205
1021,Bangkhuntien,0206
1020,BangkokNoi,0207
1016,BangkokYai,0208
1047,BangNa,0209
1025,BangPlad,0210
1004,BangRak,0211
1029,BangSu,0212
1027,BungKum,0213
1030,Chatuchak,0214
1035,ChomThong,0215
1026,DinDang,0216
1036,DonMuang,0217
1002,Dusit,0218
1017,HuaiKwang,0219
1043,KhanNaYao,0220
1046,KhlongSamWa,0221
1018,KhlongSan,0222
1033,KhlongToey,0223
1041,LakSi,0224
1011,LatKrabang,0225
1038,LatPhrao,0226
1010,MinBuri,0227
1003,NongChok,0228
1023,Nongkheam,0229
1007,PathumWan,0230
1022,PhasiCharoen,0231
1014,PhayaThai,0232
1001,PhraNakhon,0233
1008,PomPramSattru,0234
1009,Prakanong,0235
1032,Prawet,0236
1024,RatBurana,0237
1037,Ratchathewi,0238
1042,SaiMai,0239
1013,Samphantawong,0240
1044,SaphanSung,0241
1028,Sathorn,0242
1034,SuanLuang,0243
1019,TalingChan,0244
1048,ThawiWattana,0245
1015,ThonBuri,0246
1049,Thungkru,0247
1045,WangThonglang,0248
1039,Wattana,0249
1012,Yannawa,0250
